Rank,Reg.No,GPA,Prov Field,Pref
1,E/16/038,4,Civil,1
2,E/16/246,3.95,Elect,1
3,E/16/392,3.95,Elect,1
4,E/16/325,3.9,Mech,1
5,E/16/321,3.85,Elect,1
6,E/16/387,3.85,Mech,1
7,E/16/309,3.75,Elect,1
8,E/16/415,3.75,Elect,1
9,E/16/207,3.75,Elect,1
10,E/16/369,3.75,Comp,1
11,E/16/286,3.7,Comp,1
12,E/16/238,3.7,Chem,1
13,E/16/168,3.7,Comp,1
14,E/16/243,3.7,Elect,1
15,E/16/276,3.65,Comp,1
16,E/16/274,3.65,Elect,1
17,E/16/240,3.65,Chem,1
18,E/16/366,3.65,Comp,1
19,E/16/049,3.6,Comp,1
20,E/16/388,3.6,Comp,1
21,E/16/012,3.6,Comp,1
22,E/16/355,3.6,Elect,1
23,E/16/125,3.55,Elect,1
24,E/16/006,3.55,Civil,1
25,E/16/142,3.5,Elect,1
26,E/16/187,3.5,Civil,1
27,E/16/344,3.5,Chem,1
28,E/16/181,3.45,Elect,1
29,E/16/316,3.45,Civil,1
30,E/16/153,3.45,Chem,1
31,E/16/242,3.45,Comp,1
32,E/16/019,3.45,Elect,1
33,E/16/043,3.45,Chem,1
34,E/16/147,3.4,Elect,1
35,E/16/386,3.4,Mech,1
36,E/16/232,3.4,Comp,1
37,E/16/290,3.4,Comp,1
38,E/16/114,3.35,Elect,1
39,E/16/372,3.35,Elect,1
40,E/16/134,3.35,Comp,1
41,E/16/227,3.35,Mech,1
42,E/16/183,3.35,Elect,1
43,E/16/203,3.3,Comp,1
44,E/16/234,3.3,Elect,1
45,E/16/312,3.3,Elect,1
46,E/16/200,3.3,Comp,1
47,E/16/280,3.3,Elect,1
48,E/16/368,3.3,Comp,1
49,E/16/140,3.25,Mech,1
50,E/16/116,3.25,Elect,1
51,E/16/037,3.25,Civil,1
52,E/16/103,3.25,Elect,1
53,E/16/407,3.25,Elect,1
54,E/16/370,3.25,Elect,1
55,E/16/036,3.25,Elect,1
56,E/16/357,3.25,Elect,1
57,E/16/013,3.25,Elect,1
58,E/16/362,3.25,Civil,1
59,E/16/086,3.25,Comp,1
60,E/16/070,3.2,Comp,1
61,E/16/297,3.2,Civil,1
62,E/16/069,3.2,Comp,1
63,E/16/377,3.2,Comp,1
64,E/16/017,3.2,Mech,1
65,E/16/239,3.2,Elect,1
66,E/16/062,3.2,Mech,1
67,E/16/173,3.2,Comp,1
68,E/16/365,3.2,Elect,1
69,E/16/055,3.15,Comp,1
70,E/16/156,3.15,Comp,1
71,E/16/124,3.15,Elect,1
72,E/16/381,3.15,Civil,1
73,E/16/217,3.15,Comp,1
74,E/16/318,3.15,Elect,1
75,E/16/303,3.15,Elect,1
76,E/16/361,3.15,Mech,1
77,E/16/025,3.15,Comp,1
78,E/16/345,3.15,Elect,1
79,E/16/261,3.15,Comp,1
80,E/16/358,3.15,Chem,1
81,E/16/078,3.1,Comp,1
82,E/16/351,3.1,Comp,1
83,E/16/088,3.1,Comp,1
84,E/16/026,3.1,Elect,1
85,E/16/177,3.1,Elect,1
86,E/16/364,3.1,Comp,1
87,E/16/281,3.1,Elect,1
88,E/16/258,3.1,Chem,1
89,E/16/117,3.1,Elect,1
90,E/16/320,3.1,Comp,1
91,E/16/390,3.1,Elect,1
92,E/16/057,3.1,Comp,1
93,E/16/367,3.1,Elect,1
94,E/16/076,3.05,Comp,1
95,E/16/389,3.05,Comp,1
96,E/16/014,3.05,Civil,1
97,E/16/118,3.05,Mech,1
98,E/16/322,3.05,Chem,1
99,E/16/104,3.05,Elect,1
100,E/16/277,3.05,Elect,1
101,E/16/060,3.05,Civil,1
102,E/16/002,3.05,Elect,1
103,E/16/228,3.05,Elect,1
104,E/16/335,3.05,Civil,1
105,E/16/268,3.05,Elect,1
106,E/16/210,3.05,Chem,1
107,E/16/332,3.05,Comp,1
108,E/16/033,3.05,Elect,1
109,E/16/035,3.05,Elect,1
110,E/16/311,3.05,Civil,1
111,E/16/096,3.05,Comp,1
112,E/16/082,3.05,Elect,1
113,E/16/022,3.05,Comp,1
114,E/16/127,3.05,Comp,1
115,E/16/260,3.05,Civil,1
116,E/16/354,3,Civil,1
117,E/16/021,3,Elect,1
118,E/16/275,3,Comp,1
119,E/16/244,3,Civil,1
120,E/16/050,3,Elect,1
121,E/16/333,3,Elect,1
122,E/16/068,3,Comp,1
123,E/16/008,3,Elect,1
124,E/16/146,3,Mech,1
125,E/16/221,2.95,Comp,1
126,E/16/089,2.95,Comp,1
127,E/16/202,2.95,Chem,1
128,E/16/061,2.95,Comp,1
129,E/16/231,2.95,Elect,1
130,E/16/396,2.95,Comp,1
131,E/16/094,2.95,Comp,1
132,E/16/291,2.95,Civil,1
133,E/16/180,2.95,Mech,1
134,E/16/087,2.95,Comp,1
135,E/16/126,2.95,Comp,1
136,E/16/306,2.95,Elect,1
137,E/16/079,2.9,Elect,1
138,E/16/004,2.9,Elect,1
139,E/16/101,2.9,Elect,1
140,E/16/256,2.9,Elect,1
141,E/16/135,2.9,Elect,1
142,E/16/223,2.9,Comp,1
143,E/16/394,2.9,Comp,1
144,E/16/304,2.9,Civil,1
145,E/16/313,2.9,Comp,1
146,E/16/222,2.9,Comp,1
147,E/16/065,2.9,Chem,1
148,E/16/189,2.9,Civil,1
149,E/16/039,2.9,Comp,1
150,E/16/247,2.9,Elect,1
151,E/16/108,2.9,Civil,1
152,E/16/360,2.9,Comp,1
153,E/16/399,2.9,Comp,1
154,E/16/267,2.9,Comp,1
155,E/16/081,2.9,Comp,1
156,E/16/319,2.9,Comp,1
157,E/16/123,2.9,Elect,1
158,E/16/250,2.9,Comp,1
159,E/16/305,2.9,Elect,1
160,E/16/152,2.9,Chem,1
161,E/16/172,2.9,Comp,1
162,E/16/115,2.9,Comp,1
163,E/16/083,2.9,Comp,1
164,E/16/299,2.9,Civil,1
165,E/16/398,2.9,Mech,1
166,E/16/317,2.9,Manufac,2
167,E/16/003,2.9,Elect,1
168,E/16/092,2.9,Civil,1
169,E/16/073,2.85,Elect,2
170,E/16/044,2.85,Elect,1
171,E/16/209,2.85,Civil,1
172,E/16/294,2.85,Elect,2
173,E/16/158,2.85,Elect,2
174,E/16/032,2.85,Civil,1
175,E/16/191,2.85,Chem,1
176,E/16/107,2.85,Elect,1
177,E/16/054,2.85,Elect,2
178,E/16/340,2.85,Civil,1
179,E/16/169,2.85,Chem,2
180,E/16/071,2.85,Civil,2
181,E/16/356,2.85,Elect,2
182,E/16/009,2.85,Elect,1
183,E/16/016,2.85,Civil,2
184,E/16/342,2.85,Civil,1
185,E/16/041,2.85,Elect,1
186,E/16/040,2.85,Elect,1
187,E/16/208,2.8,Manufac,2
188,E/16/373,2.8,Elect,1
189,E/16/379,2.8,Elect,1
190,E/16/403,2.8,Elect,1
191,E/16/163,2.8,Civil,1
192,E/16/226,2.8,Elect,2
193,E/16/141,2.8,Elect,2
194,e/16/034,2.8,Mech,1
195,E/16/237,2.8,Civil,1
196,E/14/353,2.8,Elect,2
197,E/16/193,2.8,Civil,1
198,E/16/412,2.8,Elect,1
199,E/16/405,2.8,Civil,2
200,E/16/067,2.8,Chem,1
201,E/16/307,2.8,Elect,1
202,E/16/015,2.8,Civil,1
203,E/16/122,2.8,Elect,1
204,E/16/201,2.8,Civil,1
205,E/16/249,2.8,Elect,1
206,E/16/149,2.8,Elect,1
207,E/16/380,2.75,Elect,1
208,E/16/064,2.75,Elect,1
209,E/16/010,2.75,Elect,1
210,E/16/100,2.75,Elect,1
211,E/16/287,2.75,Civil,1
212,E/16/411,2.75,Chem,2
213,E/16/254,2.75,Elect,1
214,E/16/329,2.75,Civil,1
215,E/16/052,2.75,Civil,1
216,E/16/162,2.75,Civil,1
217,E/16/224,2.75,Elect,2
218,E/16/284,2.75,Civil,1
219,E/16/282,2.75,Elect,2
220,E/16/165,2.75,Mech,1
221,E/16/385,2.75,Manufac,1
222,E/16/382,2.75,Mech,2
223,E/16/102,2.75,Mech,1
224,E/16/182,2.75,Civil,1
225,E/16/164,2.75,Elect,1
226,E/16/406,2.75,Chem,1
227,E/16/139,2.75,Chem,2
228,E/16/218,2.75,Elect,2
229,E/16/090,2.75,Elect,2
230,E/16/196,2.75,Civil,1
231,E/16/023,2.7,Elect,1
232,E/16/264,2.7,Civil,1
233,E/16/348,2.7,Elect,2
234,E/16/028,2.7,Elect,1
235,E/16/285,2.7,Elect,1
236,E/16/347,2.7,Elect,2
237,E/16/063,2.7,Elect,1
238,E/16/353,2.7,Civil,1
239,E/16/214,2.7,Elect,1
240,E/16/148,2.7,Civil,1
241,E/16/053,2.7,Civil,2
242,E/16/145,2.7,Civil,1
243,E/16/414,2.7,Civil,1
244,E/16/293,2.7,Civil,2
245,E/16/204,2.7,Mech,1
246,E/16/128,2.7,Civil,2
247,E/16/410,2.7,Civil,3
248,E/16/170,2.7,Civil,3
249,E/16/154,2.7,Civil,3
250,E/16/199,2.7,Civil,3
251,E/16/197,2.7,Chem,2
252,E/16/236,2.65,Civil,1
253,E/16/383,2.65,Civil,2
254,E/16/143,2.65,Mech,1
255,E/16/030,2.65,Chem,3
256,E/16/020,2.65,Civil,1
257,E/16/161,2.65,Mech,2
258,E/16/138,2.65,Civil,3
259,E/16/093,2.65,Mech,3
260,E/16/051,2.65,Civil,1
261,E/16/279,2.65,Civil,1
262,E/16/106,2.65,Civil,1
263,E/16/343,2.65,Mech,1
264,E/16/350,2.65,Civil,3
265,E/16/255,2.65,Civil,2
266,E/16/278,2.65,Civil,1
267,E/16/194,2.65,Civil,1
268,E/16/323,2.65,Civil,3
269,E/16/042,2.65,Chem,3
270,E/16/190,2.65,Mech,3
271,E/16/058,2.65,Chem,1
272,E/16/045,2.65,Manufac,2
273,E/16/241,2.65,Civil,1
274,E/16/066,2.65,Chem,1
275,E/16/248,2.65,Mech,3
